"id","sex","education","income","internet","e_reader","number_of_books"
103225,"female","Post-graduate training","$50,000 - $75,000","Yes","No","Refused"
103227,"female","Some college","Refused","No","No","5"
103229,"female","College graduate","$75,000 - $100,000","Yes","No","2"
103232,"male","8th grade or less","Don't know","Yes","No","10"
103236,"female","High school graduate","$30,000 - $40,000","Yes","No","50"
103239,"male","Post-graduate training","$75,000 - $100,000","Yes","No","0"
103243,"male","Some high school","$20,000 - $30,000","Yes","No","Don't Know"
103247,"male","Post-graduate training","$150,000 +","Yes","No","10"
103249,"male","Some college","Refused","Yes","No","0"
103271,"female","High school graduate","Don't know","No","No","3"
103276,"female","High school graduate","Refused","Yes","No","30"
103285,"male","Some college","$50,000 - $75,000","Yes","Yes","97 or more"
103286,"male","Some high school","$100,000 - $150,000","Yes","No","13"
103288,"female","Post-graduate training","Refused","Yes","No","50"
103289,"male","Post-graduate training","Don't know","Yes","No","3"
103293,"female","High school graduate","Refused","No","No","2"
103295,"male","High school graduate","Don't know","No","No","4"
103297,"female","Technical school","$75,000 - $100,000","Yes","No","3"
103309,"female","High school graduate","Refused","No","No","12"
103312,"male","Post-graduate training","$50,000 - $75,000","Yes","No","3"
103313,"female","Some high school","Don't know","No","No","10"
103319,"female","College graduate","$100,000 - $150,000","Yes","Yes","97 or more"
103326,"female","Some high school","< $10,000","No","No","0"
103327,"female","High school graduate","$30,000 - $40,000","Yes","Yes","8"
103335,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","8"
103336,"female","High school graduate","$30,000 - $40,000","Yes","No","5"
103342,"female","College graduate","Refused","Yes","No","Refused"
103344,"female","College graduate","$75,000 - $100,000","Yes","Yes","10"
103350,"male","Post-graduate training","$100,000 - $150,000","Yes","No","0"
103355,"female","Some high school","< $10,000","No","No","0"
103356,"female","Some college","$100,000 - $150,000","Yes","No","50"
103357,"female","College graduate","$40,000 - $50,000","Yes","No","Refused"
103364,"female","Some college","Refused","Yes","Yes","0"
103368,"male","Post-graduate training","$150,000 +","Yes","No","0"
103369,"male","Some college","Refused","Yes","No","12"
103372,"female","College graduate","$40,000 - $50,000","No","No","60"
103376,"female","High school graduate","Refused","No","No","4"
103378,"female","Some college","$20,000 - $30,000","Yes","No","15"
103379,"female","College graduate","$40,000 - $50,000","Yes","No","10"
103383,"male","High school graduate","Don't know","No","No","0"
103384,"female","Some college","$30,000 - $40,000","No","No","20"
103392,"male","Some college","$50,000 - $75,000","No","No","5"
103399,"female","College graduate","$10,000 - $20,000","No","No","Don't Know"
103400,"female","High school graduate","$30,000 - $40,000","Yes","No","0"
103404,"male","Some college","$40,000 - $50,000","Yes","No","0"
103408,"male","Some college","$20,000 - $30,000","Yes","No","30"
103409,"female","High school graduate","< $10,000","Yes","No","12"
103414,"female","High school graduate","< $10,000","No","No","0"
103415,"female","Some high school","$10,000 - $20,000","No","No","0"
103421,"male","College graduate","$100,000 - $150,000","Yes","Yes","20"
103425,"male","Post-graduate training","$100,000 - $150,000","Yes","No","1"
103430,"female","Post-graduate training","$75,000 - $100,000","Yes","No","4"
103432,"male","College graduate","$75,000 - $100,000","Yes","Yes","15"
103434,"male","Post-graduate training","< $10,000","Yes","No","2"
103446,"female","Some college","$20,000 - $30,000","Yes","No","1"
103456,"male","Post-graduate training","$150,000 +","Yes","No","0"
103468,"female","High school graduate","Don't know","No","Don't know","0"
103473,"male","Some high school","$50,000 - $75,000","Yes","No","12"
103487,"male","Post-graduate training","Refused","Yes","No","6"
103491,"female","Post-graduate training","Refused","Yes","No","97 or more"
103500,"female","High school graduate","$30,000 - $40,000","Yes","Yes","6"
103502,"female","High school graduate","$100,000 - $150,000","Yes","No","2"
103503,"male","High school graduate","$50,000 - $75,000","Yes","No","12"
103512,"male","High school graduate","Don't know","Yes","No","40"
103514,"female","College graduate","$150,000 +","Yes","No","3"
103516,"female","College graduate","$10,000 - $20,000","Yes","No","4"
103517,"male","High school graduate","$10,000 - $20,000","Yes","No","97 or more"
103518,"female","High school graduate","Don't know","No","No","0"
103519,"male","High school graduate","$100,000 - $150,000","Yes","No","0"
103527,"male","Post-graduate training","Refused","No","No","97 or more"
103529,"male","Some college","Don't know","Yes","No","3"
103531,"male","College graduate","$100,000 - $150,000","Yes","No","20"
103535,"female","College graduate","$100,000 - $150,000","Yes","No","12"
103541,"male","High school graduate","$50,000 - $75,000","Yes","No","25"
103542,"female","High school graduate","$75,000 - $100,000","Yes","No","0"
103544,"female","Some college","$100,000 - $150,000","Yes","No","24"
103546,"female","College graduate","$100,000 - $150,000","Yes","No","40"
103562,"male","Post-graduate training","$150,000 +","Yes","No","0"
103563,"male","High school graduate","$75,000 - $100,000","Yes","No","3"
103581,"female","College graduate","$10,000 - $20,000","Yes","No","97 or more"
103583,"male","Some college","Refused","Yes","Yes","1"
103594,"female","High school graduate","$20,000 - $30,000","Yes","No","0"
103603,"female","8th grade or less","Refused","Yes","No","30"
103604,"female","College graduate","$20,000 - $30,000","No","No","4"
103615,"male","Some college","$50,000 - $75,000","Yes","No","17"
103619,"female","High school graduate","$40,000 - $50,000","Yes","No","12"
103621,"male","High school graduate","Refused","Yes","No","25"
103627,"male","High school graduate","$100,000 - $150,000","Yes","No","6"
103628,"female","Post-graduate training","Don't know","Yes","No","96"
103629,"female","Post-graduate training","Refused","Yes","No","20"
103636,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","97 or more"
103639,"female","Some college","$30,000 - $40,000","Yes","No","15"
103644,"female","Some college","$40,000 - $50,000","Yes","No","2"
103645,"female","College graduate","$30,000 - $40,000","No","No","2"
103650,"female","Some college","Don't know","Yes","Yes","60"
103658,"male","Some college","$30,000 - $40,000","Yes","No","4"
103671,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","12"
103680,"female","Some college","$50,000 - $75,000","Yes","No","1"
103683,"female","College graduate","$50,000 - $75,000","Yes","No","3"
103693,"female","High school graduate","$50,000 - $75,000","Yes","No","25"
103694,"female","High school graduate","$50,000 - $75,000","Yes","No","1"
103695,"female","Post-graduate training","$100,000 - $150,000","Yes","No","12"
103698,"female","Some college","Don't know","Yes","No","11"
103701,"male","Post-graduate training","Refused","Yes","No","12"
103703,"female","College graduate","$20,000 - $30,000","Yes","No","6"
103704,"female","Post-graduate training","$40,000 - $50,000","Yes","No","Don't Know"
103708,"male","College graduate","$100,000 - $150,000","Yes","No","12"
103724,"female","College graduate","$75,000 - $100,000","Yes","No","6"
103726,"female","Post-graduate training","$150,000 +","Yes","No","2"
103729,"male","High school graduate","$30,000 - $40,000","Yes","No","0"
103730,"male","Some college","$20,000 - $30,000","No","No","0"
103745,"female","College graduate","$75,000 - $100,000","Yes","No","3"
103753,"female","High school graduate","$20,000 - $30,000","Yes","No","6"
103754,"female","Some college","$40,000 - $50,000","Yes","No","50"
103755,"male","Some college","$50,000 - $75,000","Yes","No","2"
103757,"male","Post-graduate training","$100,000 - $150,000","Yes","No","1"
103761,"female","College graduate","$50,000 - $75,000","Yes","No","30"
103764,"female","Some college","$100,000 - $150,000","Yes","No","75"
103767,"male","High school graduate","Refused","Yes","No","1"
103768,"male","Post-graduate training","Don't know","Yes","No","30"
103770,"female","Post-graduate training","$50,000 - $75,000","Yes","No","50"
103772,"female","Some college","$30,000 - $40,000","Yes","No","5"
103776,"male","Some college","$40,000 - $50,000","Yes","No","6"
103779,"female","8th grade or less","< $10,000","No","No","Don't Know"
103780,"male","Post-graduate training","$75,000 - $100,000","Yes","No","4"
103787,"female","Some college","$150,000 +","Yes","Yes","3"
103796,"female","Post-graduate training","$150,000 +","Yes","No","10"
103799,"female","Some high school","< $10,000","No","No","8"
103800,"male","Post-graduate training","$10,000 - $20,000","Yes","No","4"
103804,"female","High school graduate","$30,000 - $40,000","No","No","75"
103807,"female","High school graduate","$10,000 - $20,000","No","No","1"
103817,"female","College graduate","$40,000 - $50,000","Yes","No","15"
103822,"female","Some college","$10,000 - $20,000","No","No","75"
103831,"female","Post-graduate training","$75,000 - $100,000","Yes","No","3"
103832,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","Refused"
103837,"female","Some college","Don't know","Yes","No","Don't Know"
103848,"male","High school graduate","< $10,000","Yes","No","0"
103851,"female","8th grade or less","Don't know","No","No","0"
103852,"male","High school graduate","$20,000 - $30,000","No","No","24"
103853,"female","Some high school","Don't know","No","No","9"
103857,"female","High school graduate","$10,000 - $20,000","No","No","0"
103862,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","25"
103863,"male","Some college","$50,000 - $75,000","No","No","4"
103864,"female","Some college","Refused","No","No","10"
103866,"female","Post-graduate training","Refused","Yes","No","5"
103894,"female","Some high school","$100,000 - $150,000","Yes","No","4"
103902,"male","College graduate","$40,000 - $50,000","Yes","No","0"
103904,"female","Some college","Don't know","Yes","No","12"
103912,"male","College graduate","$50,000 - $75,000","No","No","97 or more"
103915,"female","High school graduate","Refused","No","Yes","7"
103922,"female","Post-graduate training","$50,000 - $75,000","Yes","No","10"
103925,"female","Some college","< $10,000","Yes","No","7"
103930,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
103931,"female","Post-graduate training","$30,000 - $40,000","No","No","3"
103946,"female","High school graduate","$20,000 - $30,000","Yes","Yes","50"
103948,"male","High school graduate","$75,000 - $100,000","No","No","0"
103951,"female","Some college","$100,000 - $150,000","Yes","No","Don't Know"
103955,"female","High school graduate","$40,000 - $50,000","Yes","No","24"
103962,"female","High school graduate","< $10,000","Yes","No","5"
103964,"female","High school graduate","$20,000 - $30,000","No","No","12"
103968,"female","Some college","$50,000 - $75,000","Yes","No","4"
103970,"female","College graduate","$10,000 - $20,000","Yes","No","10"
103977,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
103985,"male","College graduate","$100,000 - $150,000","Yes","No","5"
104001,"male","High school graduate","Refused","Yes","No","3"
104004,"female","Some college","$50,000 - $75,000","Yes","Yes","50"
104007,"female","College graduate","$20,000 - $30,000","Yes","No","Refused"
104020,"male","High school graduate","$30,000 - $40,000","Yes","No","0"
104023,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","2"
104027,"male","Post-graduate training","$30,000 - $40,000","Yes","No","15"
104034,"male","College graduate","Don't know","Yes","No","20"
104039,"female","Post-graduate training","$20,000 - $30,000","Yes","No","Don't Know"
104040,"male","Some college","$10,000 - $20,000","No","No","5"
104043,"female","Some high school","$75,000 - $100,000","Yes","Yes","97 or more"
104044,"male","College graduate","$30,000 - $40,000","Yes","No","10"
104047,"male","College graduate","$10,000 - $20,000","Yes","No","0"
104048,"female","High school graduate","$10,000 - $20,000","No","No","Don't Know"
104051,"female","8th grade or less","Don't know","No","No","0"
104060,"male","High school graduate","$10,000 - $20,000","Yes","No","6"
104076,"male","Some college","$30,000 - $40,000","No","No","2"
104079,"male","Post-graduate training","$150,000 +","Yes","Yes","40"
104084,"female","Some college","$20,000 - $30,000","Yes","No","15"
104085,"male","High school graduate","$40,000 - $50,000","Yes","No","0"
104089,"female","High school graduate","$30,000 - $40,000","Yes","Yes","13"
104093,"male","Some college","$100,000 - $150,000","Yes","No","3"
104105,"female","Some college","$30,000 - $40,000","Yes","Yes","3"
104117,"female","Some high school","$30,000 - $40,000","Yes","No","16"
104122,"female","Some college","Refused","Yes","Yes","10"
104128,"female","Technical school","$30,000 - $40,000","Yes","No","0"
104130,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","3"
104133,"male","8th grade or less","$100,000 - $150,000","Yes","No","12"
104136,"male","Post-graduate training","Refused","Yes","No","5"
104138,"female","Some college","Refused","No","No","6"
104144,"male","High school graduate","$100,000 - $150,000","Yes","No","0"
104147,"female","Some college","Don't know","Yes","Yes","97 or more"
104151,"male","Some college","$20,000 - $30,000","No","No","4"
104157,"female","Post-graduate training","$150,000 +","Yes","Yes","5"
104158,"male","College graduate","$75,000 - $100,000","Yes","No","6"
104159,"female","Post-graduate training","$30,000 - $40,000","Yes","No","2"
104160,"male","Post-graduate training","Refused","No","No","6"
104165,"male","College graduate","$150,000 +","Yes","No","97 or more"
104166,"female","Some college","$20,000 - $30,000","Yes","No","Refused"
104171,"male","Post-graduate training","$75,000 - $100,000","Yes","No","20"
104172,"male","Post-graduate training","Refused","Yes","No","6"
104173,"female","College graduate","Don't know","Yes","No","6"
104177,"female","Some college","$30,000 - $40,000","Yes","Yes","6"
104182,"female","High school graduate","$20,000 - $30,000","Yes","Don't know","5"
104192,"male","Some college","$75,000 - $100,000","Yes","Yes","40"
104201,"female","College graduate","$100,000 - $150,000","Yes","No","8"
104202,"male","Post-graduate training","$150,000 +","Yes","Yes","0"
104208,"male","College graduate","$100,000 - $150,000","Yes","Yes","3"
104214,"male","College graduate","$50,000 - $75,000","Yes","No","0"
104216,"female","Some college","Don't know","No","No","Refused"
104220,"female","Some college","Don't know","Yes","No","Don't Know"
104222,"female","High school graduate","< $10,000","Yes","No","10"
104226,"female","Post-graduate training","$50,000 - $75,000","Yes","No","30"
104235,"female","High school graduate","$20,000 - $30,000","No","Yes","24"
104246,"male","Some college","$20,000 - $30,000","Yes","No","6"
104252,"female","Post-graduate training","$40,000 - $50,000","Yes","No","25"
104259,"male","Post-graduate training","$10,000 - $20,000","No","No","3"
104261,"female","College graduate","$75,000 - $100,000","Yes","No","97 or more"
104262,"male","High school graduate","Refused","Yes","No","Don't Know"
104280,"female","Some college","< $10,000","Yes","No","4"
104290,"female","College graduate","$50,000 - $75,000","Yes","No","7"
104295,"male","High school graduate","$10,000 - $20,000","No","No","15"
104299,"male","College graduate","$50,000 - $75,000","Yes","No","3"
104307,"female","High school graduate","$40,000 - $50,000","Yes","No","10"
104312,"female","High school graduate","Refused","Yes","No","25"
104314,"male","Some high school","< $10,000","No","No","0"
104316,"female","High school graduate","Refused","No","Don't know","Don't Know"
104322,"female","High school graduate","$10,000 - $20,000","No","No","2"
104324,"female","Technical school","< $10,000","No","No","18"
104326,"female","High school graduate","$40,000 - $50,000","Yes","No","0"
104337,"female","High school graduate","Refused","No","No","0"
104347,"female","Post-graduate training","$100,000 - $150,000","Yes","No","40"
104351,"male","Post-graduate training","$150,000 +","Yes","No","6"
104356,"female","College graduate","$30,000 - $40,000","No","No","5"
104379,"male","College graduate","$30,000 - $40,000","Yes","No","7"
104383,"female","Post-graduate training","$20,000 - $30,000","Yes","No","97 or more"
104384,"female","Some college","$20,000 - $30,000","Yes","Yes","12"
104387,"female","High school graduate","$75,000 - $100,000","Yes","Yes","30"
104392,"male","High school graduate","$40,000 - $50,000","Yes","No","12"
104394,"male","College graduate","$50,000 - $75,000","Yes","No","0"
104400,"female","Technical school","$10,000 - $20,000","No","No","0"
104401,"female","Post-graduate training","$30,000 - $40,000","Yes","No","4"
104403,"female","College graduate","Refused","Yes","No","6"
104415,"male","Post-graduate training","$100,000 - $150,000","Yes","No","30"
104418,"female","College graduate","$100,000 - $150,000","Yes","Yes","97 or more"
104424,"female","Post-graduate training","$75,000 - $100,000","Yes","No","20"
104429,"female","College graduate","$20,000 - $30,000","No","No","50"
104433,"male","High school graduate","$30,000 - $40,000","Yes","No","0"
104436,"female","Some high school","< $10,000","No","No","0"
104438,"female","Post-graduate training","$150,000 +","Yes","Yes","40"
104440,"female","High school graduate","Don't know","No","No","1"
104448,"male","Post-graduate training","Refused","Yes","No","20"
104457,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","25"
104460,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
104461,"female","High school graduate","$20,000 - $30,000","Yes","No","6"
104472,"female","Some high school","Don't know","Yes","No","Don't Know"
104480,"male","High school graduate","Don't know","Yes","No","0"
104484,"male","High school graduate","$30,000 - $40,000","Yes","No","10"
104487,"male","High school graduate","$20,000 - $30,000","Yes","No","15"
104491,"female","Some college","$100,000 - $150,000","Yes","No","32"
104492,"female","Some high school","Don't know","Yes","No","3"
104495,"female","Some high school","Don't know","Yes","No","10"
104501,"female","Some college","Refused","Yes","Yes","Refused"
104505,"female","Some college","$20,000 - $30,000","Yes","No","20"
104517,"female","Some college","$40,000 - $50,000","Yes","No","12"
104521,"female","High school graduate","$20,000 - $30,000","Yes","Don't know","4"
104523,"female","College graduate","$75,000 - $100,000","Yes","No","5"
104525,"female","College graduate","$50,000 - $75,000","Yes","No","0"
104531,"male","High school graduate","$75,000 - $100,000","Yes","No","8"
104533,"female","Post-graduate training","< $10,000","No","Don't know","1"
104536,"male","Some high school","$10,000 - $20,000","No","No","6"
104542,"male","8th grade or less","Don't know","Yes","No","12"
104544,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","20"
104545,"female","High school graduate","$20,000 - $30,000","Yes","No","5"
104555,"female","Some college","$20,000 - $30,000","Yes","No","25"
104557,"male","Some college","$10,000 - $20,000","No","No","16"
104559,"female","Some high school","$20,000 - $30,000","No","No","1"
104562,"female","College graduate","$30,000 - $40,000","Yes","Yes","50"
104565,"female","Technical school","Don't know","Yes","No","70"
104568,"female","Some college","Refused","No","No","7"
104573,"female","Post-graduate training","$75,000 - $100,000","No","No","3"
104577,"male","College graduate","Refused","Yes","No","4"
104580,"female","Post-graduate training","$75,000 - $100,000","Yes","No","5"
104588,"female","Post-graduate training","$75,000 - $100,000","Yes","No","5"
104593,"female","Post-graduate training","$150,000 +","No","No","97 or more"
104594,"female","Some high school","$40,000 - $50,000","Yes","Yes","2"
104598,"female","College graduate","$50,000 - $75,000","Yes","No","97 or more"
104599,"female","High school graduate","$30,000 - $40,000","Yes","No","20"
104610,"female","Some college","$10,000 - $20,000","Yes","No","3"
104614,"male","Technical school","$150,000 +","Yes","No","0"
104616,"female","High school graduate","$20,000 - $30,000","No","No","97 or more"
104620,"female","Post-graduate training","Refused","Yes","No","12"
104621,"male","High school graduate","$50,000 - $75,000","Yes","No","3"
104637,"female","College graduate","$30,000 - $40,000","Yes","No","10"
104640,"female","Some high school","< $10,000","Yes","No","1"
104650,"female","Some college","Refused","Yes","No","1"
104660,"female","High school graduate","< $10,000","Yes","No","3"
104662,"female","College graduate","$150,000 +","Yes","No","15"
104670,"female","Some college","$50,000 - $75,000","Yes","Yes","97 or more"
104673,"female","College graduate","$30,000 - $40,000","Yes","No","1"
104676,"female","High school graduate","$30,000 - $40,000","Yes","No","24"
104684,"male","High school graduate","$10,000 - $20,000","Yes","No","3"
104692,"female","Some college","$50,000 - $75,000","Yes","Yes","3"
104699,"male","High school graduate","Refused","No","No","0"
104700,"female","High school graduate","$10,000 - $20,000","No","No","0"
104702,"male","Some college","$20,000 - $30,000","Yes","No","97 or more"
104704,"female","College graduate","$20,000 - $30,000","Yes","No","35"
104709,"male","Some high school","Don't know","No","No","5"
104713,"female","College graduate","Don't know","Yes","No","6"
104714,"female","Some high school","$10,000 - $20,000","Yes","No","97 or more"
104715,"female","College graduate","$50,000 - $75,000","No","No","3"
104718,"male","High school graduate","$75,000 - $100,000","Yes","No","50"
104730,"female","College graduate","$20,000 - $30,000","Yes","No","30"
104734,"female","Some college","$30,000 - $40,000","Yes","No","20"
104736,"male","High school graduate","$40,000 - $50,000","Yes","No","6"
104737,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
104748,"female","College graduate","$50,000 - $75,000","Yes","Yes","97 or more"
104757,"female","Some college","$75,000 - $100,000","Yes","No","7"
104760,"male","Some college","< $10,000","No","No","2"
104761,"female","Post-graduate training","$150,000 +","Yes","No","30"
104771,"male","Post-graduate training","$50,000 - $75,000","Yes","Yes","15"
104774,"female","Some college","$30,000 - $40,000","Yes","No","36"
104780,"male","High school graduate","Don't know","No","No","0"
104785,"male","College graduate","$30,000 - $40,000","Yes","No","50"
104789,"female","Some college","$20,000 - $30,000","Yes","No","30"
104790,"female","High school graduate","$50,000 - $75,000","No","No","2"
104793,"female","Some college","Refused","Yes","Yes","96"
104795,"female","College graduate","$30,000 - $40,000","Yes","No","3"
104799,"female","High school graduate","$20,000 - $30,000","Yes","No","25"
104806,"male","Some college","$40,000 - $50,000","Yes","No","30"
104818,"male","High school graduate","$10,000 - $20,000","Yes","No","2"
104834,"male","Post-graduate training","$75,000 - $100,000","Yes","No","Refused"
104843,"male","Some college","$100,000 - $150,000","Yes","No","20"
104848,"female","Some college","$75,000 - $100,000","Yes","No","4"
104852,"female","Some high school","< $10,000","No","No","Don't Know"
104853,"female","Technical school","$30,000 - $40,000","Yes","Yes","50"
104856,"male","College graduate","$75,000 - $100,000","Yes","No","10"
104866,"female","Some college","$50,000 - $75,000","Yes","No","6"
104871,"female","Some college","$20,000 - $30,000","Yes","Yes","97 or more"
104877,"female","Some college","$50,000 - $75,000","Yes","No","12"
104884,"male","Some college","$50,000 - $75,000","Yes","Yes","20"
104885,"female","Post-graduate training","$75,000 - $100,000","Yes","No","6"
104889,"female","Some college","Refused","Yes","No","6"
104916,"female","Post-graduate training","$30,000 - $40,000","Yes","No","20"
104924,"male","College graduate","$150,000 +","Yes","No","30"
104927,"male","High school graduate","$40,000 - $50,000","Yes","No","6"
104947,"female","Post-graduate training","$150,000 +","Yes","No","20"
104951,"female","College graduate","Refused","Yes","No","12"
104955,"male","High school graduate","$10,000 - $20,000","Yes","No","Don't Know"
104963,"male","High school graduate","$40,000 - $50,000","Yes","No","15"
104971,"male","Technical school","$10,000 - $20,000","Yes","No","6"
104974,"male","College graduate","$100,000 - $150,000","Yes","No","6"
104975,"female","8th grade or less","< $10,000","No","No","0"
104988,"male","High school graduate","$100,000 - $150,000","Yes","No","40"
105000,"male","High school graduate","< $10,000","No","No","30"
105007,"male","Post-graduate training","$50,000 - $75,000","Yes","Yes","20"
105014,"male","Some college","$75,000 - $100,000","Yes","No","0"
105017,"female","High school graduate","$50,000 - $75,000","Yes","No","0"
105028,"female","Post-graduate training","$75,000 - $100,000","Yes","No","20"
105035,"male","Some college","Refused","Yes","No","4"
105037,"female","Some college","Refused","Yes","No","15"
105038,"female","Some high school","Don't know","Yes","No","20"
105039,"female","College graduate","$150,000 +","Yes","No","2"
105046,"female","College graduate","$150,000 +","Yes","Yes","6"
105053,"female","Some college","$75,000 - $100,000","Yes","No","5"
105074,"female","College graduate","$40,000 - $50,000","Yes","No","30"
105075,"female","College graduate","$75,000 - $100,000","Yes","No","5"
105077,"male","Some college","$50,000 - $75,000","Yes","No","8"
105080,"male","High school graduate","$40,000 - $50,000","No","No","1"
105085,"female","Technical school","Refused","Yes","No","25"
105088,"female","Refused","Refused","Yes","No","5"
105094,"female","High school graduate","$10,000 - $20,000","Yes","No","5"
105105,"male","Post-graduate training","$50,000 - $75,000","Yes","Yes","12"
105108,"female","College graduate","$150,000 +","Yes","No","97 or more"
105130,"female","College graduate","$100,000 - $150,000","Yes","Yes","10"
105142,"female","College graduate","$50,000 - $75,000","Yes","Yes","97 or more"
105150,"male","College graduate","$75,000 - $100,000","Yes","No","4"
105198,"female","Post-graduate training","$100,000 - $150,000","Yes","No","30"
105199,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","40"
105259,"male","Post-graduate training","Refused","Yes","No","12"
105260,"female","College graduate","$100,000 - $150,000","Yes","No","20"
105269,"male","College graduate","$100,000 - $150,000","Yes","Yes","5"
105331,"male","Some high school","$30,000 - $40,000","Yes","No","20"
105366,"female","College graduate","$150,000 +","Yes","Yes","20"
105370,"male","Post-graduate training","$75,000 - $100,000","Yes","No","90"
105380,"female","Some college","Refused","Yes","Yes","50"
105411,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","97 or more"
105418,"male","8th grade or less","$10,000 - $20,000","Yes","Yes","1"
105423,"female","Refused","Refused","Yes","Yes","20"
105443,"male","College graduate","$75,000 - $100,000","Yes","Yes","30"
105447,"female","High school graduate","$150,000 +","Yes","Yes","8"
105454,"female","Some college","$75,000 - $100,000","Yes","Yes","0"
105502,"male","College graduate","$75,000 - $100,000","Yes","Yes","0"
105507,"female","Some high school","$40,000 - $50,000","Yes","Don't know","30"
105516,"male","Post-graduate training","Refused","Yes","Yes","25"
105534,"male","Some high school","$10,000 - $20,000","Yes","Yes","20"
105548,"male","Some college","$50,000 - $75,000","Yes","No","0"
105552,"female","Some college","$50,000 - $75,000","Yes","Yes","15"
105628,"female","College graduate","Refused","Yes","Yes","40"
105640,"male","College graduate","$50,000 - $75,000","Yes","No","5"
105666,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","6"
105676,"male","College graduate","$10,000 - $20,000","Yes","Yes","3"
105681,"female","Post-graduate training","$40,000 - $50,000","Yes","No","35"
105685,"male","Some college","$150,000 +","Yes","Yes","3"
105699,"female","Post-graduate training","$75,000 - $100,000","Yes","Yes","15"
105725,"female","Some high school","Don't know","Yes","Yes","9"
105761,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","10"
105772,"female","Some college","$30,000 - $40,000","No","Yes","12"
105780,"female","College graduate","$100,000 - $150,000","Yes","No","50"
105823,"male","Post-graduate training","$100,000 - $150,000","Yes","No","97 or more"
105839,"male","Some high school","$50,000 - $75,000","Yes","No","45"
105882,"male","High school graduate","$100,000 - $150,000","Yes","No","4"
105887,"male","College graduate","$150,000 +","Yes","No","3"
105892,"male","Some college","$50,000 - $75,000","Yes","No","1"
105893,"female","College graduate","$100,000 - $150,000","Yes","Yes","12"
105895,"male","Post-graduate training","$150,000 +","Yes","Yes","6"
105904,"female","College graduate","$150,000 +","Yes","Yes","4"
105924,"female","Post-graduate training","$30,000 - $40,000","Yes","Yes","20"
105963,"male","Post-graduate training","$150,000 +","Yes","No","96"
105976,"male","Post-graduate training","$75,000 - $100,000","No","Yes","10"
105979,"female","Some college","Refused","Yes","Yes","8"
105989,"female","College graduate","$100,000 - $150,000","Yes","Yes","3"
106024,"male","Some high school","Don't know","Yes","Yes","3"
106036,"female","High school graduate","$100,000 - $150,000","Yes","No","0"
106097,"male","College graduate","$100,000 - $150,000","Yes","No","5"
106122,"female","Some college","$40,000 - $50,000","Yes","Yes","25"
106199,"female","Post-graduate training","$50,000 - $75,000","Yes","Yes","20"
106200,"female","College graduate","$150,000 +","Yes","Yes","12"
106241,"male","Post-graduate training","$100,000 - $150,000","Yes","Yes","12"
106262,"male","Some high school","Don't know","Yes","Yes","10"
106275,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","3"
106299,"female","College graduate","$150,000 +","Yes","Yes","97 or more"
106343,"male","Post-graduate training","$150,000 +","Yes","Yes","30"
106366,"female","College graduate","Refused","Yes","Yes","4"
106423,"female","College graduate","Refused","Yes","Yes","5"
106426,"male","Post-graduate training","Refused","Yes","Yes","50"
106460,"female","Post-graduate training","$20,000 - $30,000","Yes","Yes","10"
106480,"male","Post-graduate training","$50,000 - $75,000","Yes","Yes","20"
106501,"female","College graduate","$40,000 - $50,000","Yes","Yes","17"
106509,"female","College graduate","$100,000 - $150,000","Yes","Yes","24"
106512,"female","College graduate","$20,000 - $30,000","Yes","Yes","97 or more"
106589,"male","College graduate","$150,000 +","Yes","Yes","8"
106590,"female","Some college","$50,000 - $75,000","Yes","No","50"
106594,"female","Some college","$50,000 - $75,000","Yes","No","2"
106621,"female","College graduate","$75,000 - $100,000","Yes","No","0"
106628,"female","Post-graduate training","$150,000 +","Yes","No","32"
106655,"female","High school graduate","$30,000 - $40,000","Yes","Yes","4"
106685,"male","Post-graduate training","$100,000 - $150,000","Yes","No","16"
106704,"female","Some college","$100,000 - $150,000","Yes","Yes","8"
106717,"female","Some college","$40,000 - $50,000","Yes","No","50"
106720,"male","College graduate","$150,000 +","Yes","Yes","3"
106722,"female","Some college","$50,000 - $75,000","Yes","Yes","12"
106728,"female","High school graduate","Refused","Yes","Yes","6"
106745,"female","High school graduate","$75,000 - $100,000","Yes","No","10"
106777,"female","Some college","$75,000 - $100,000","Yes","Yes","30"
106788,"male","Some college","Refused","Yes","Yes","0"
106873,"female","Some high school","Don't know","Yes","No","3"
106881,"female","College graduate","$100,000 - $150,000","Yes","No","3"
