"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"2632" "Secret Agent Barbie: Royal Jewels Mission" "GBA" "2002" "Platform" 0.56 0.21 0 0.01 0.78
"2674" "Conker's Bad Fur Day" "N64" "2001" "Platform" 0.53 0.22 0 0.02 0.77
"2676" "Star Wars Episode II: Attack of the Clones" "GBA" "2002" "Action" 0.55 0.2 0 0.01 0.77
"2679" "Twisted Metal: Head On" "PSP" "2005" "Action" 0.71 0 0 0.06 0.77
"2681" "Maximo: Ghosts to Glory" "PS2" "2001" "Platform" 0.38 0.29 0 0.1 0.77
"2683" "Donkey Kong Country 3" "GBA" "2005" "Platform" 0.45 0.17 0.14 0.01 0.77
"2684" "All-Star Baseball 2003" "PS2" "2002" "Sports" 0.38 0.29 0 0.1 0.77
"2686" "Cabela's Deer Hunt: 2004 Season" "PS2" "2003" "Sports" 0.37 0.29 0 0.1 0.76
"2693" "Mercenaries: Playground of Destruction" "PS2" "2005" "Action" 0.64 0.02 0 0.1 0.76
"2706" "Tony Hawk's Pro Skater 2" "N64" "2001" "Sports" 0.59 0.16 0 0.01 0.76
"2722" "True Crime: New York City" "PS2" "2005" "Action" 0.57 0.02 0.07 0.09 0.76
"2742" "Shark Tale" "PS2" "2004" "Action" 0.37 0.29 0 0.1 0.75
"2748" "Madden NFL 06" "PSP" "2005" "Sports" 0.69 0 0 0.06 0.75
"2750" "Tony Hawk's Underground 2" "XB" "2004" "Sports" 0.48 0.24 0 0.03 0.75
"2781" "The Lord of the Rings: The Two Towers" "GBA" "2002" "Action" 0.53 0.2 0 0.01 0.74
"2782" "Tiger Woods PGA Tour 2001" "PS2" "2001" "Sports" 0.36 0.28 0 0.09 0.74
"2797" "Classic NES Series: Donkey Kong" "GBA" "2004" "Platform" 0.4 0.15 0.17 0.01 0.73
"2803" "Kirby: Canvas Curse" "DS" "2005" "Platform" 0.37 0 0.32 0.04 0.73
"2806" "Oddworld: Munch's Oddysee" "XB" "2001" "Platform" 0.54 0.16 0 0.03 0.73
"2816" "Beyblade VForce: Ultimate Blader Jam" "GBA" "2003" "Action" 0.52 0.19 0 0.01 0.73
"2819" "Shaun Palmer's Pro Snowboarder" "PS2" "2001" "Sports" 0.36 0.28 0 0.09 0.73
"2827" "Star Wars Episode III: Revenge of the Sith" "GBA" "2005" "Action" 0.52 0.19 0 0.01 0.72
"2828" "Ultimate Spider-Man" "PS2" "2005" "Action" 0.6 0.02 0 0.1 0.72
"2838" "Kouchuu Ouja Mushi King" "GBA" "2005" "Action" 0 0 0.7 0.02 0.72
"2858" "The Lord of the Rings: The Two Towers" "XB" "2002" "Action" 0.45 0.24 0 0.03 0.71
"2859" "Madden NFL 2003" "XB" "2002" "Sports" 0.67 0.02 0 0.03 0.71
"2874" "Silent Hill 3" "PS2" "2003" "Action" 0.35 0.27 0 0.09 0.71
"2880" "Spyro: Enter the Dragonfly" "GC" "2002" "Platform" 0.55 0.14 0 0.02 0.71
"2881" "Scooby-Doo 2: Monsters Unleashed" "GBA" "2004" "Action" 0.51 0.19 0 0.01 0.71
"2882" "Power Rangers: Dino Thunder" "PS2" "2004" "Action" 0.35 0.27 0 0.09 0.71
"2901" "Spider-Man 2" "PSP" "2005" "Action" 0.35 0.21 0 0.14 0.71
"2905" "Tony Hawk's Underground" "GC" "2003" "Sports" 0.54 0.14 0 0.02 0.7
"2910" "Star Wars: Obi-Wan" "XB" "2001" "Action" 0.52 0.16 0 0.02 0.7
"2914" "Madden NFL 2005" "GC" "2004" "Sports" 0.54 0.14 0 0.02 0.7
"2915" "F-14 Tomcat" "GBA" "2001" "Action" 0.5 0.19 0 0.01 0.7
"2927" "Ape Escape: On the Loose" "PSP" "2005" "Platform" 0.52 0.01 0.12 0.05 0.7
"2932" "Mafia" "PS2" "2004" "Action" 0.34 0.27 0 0.09 0.7
"2940" "Disney's Chicken Little" "GBA" "2005" "Platform" 0.5 0.18 0 0.01 0.7
"2952" "Mortal Kombat: Shaolin Monks" "PS2" "2005" "Action" 0.58 0.02 0 0.09 0.69
"2963" "Harry Potter and the Chamber of Secrets" "GC" "2002" "Action" 0.53 0.14 0 0.02 0.69
"2965" "The Lord of the Rings: The Return of the King" "GC" "2003" "Action" 0.53 0.14 0 0.02 0.69
"2972" "Shark Tale" "GBA" "2004" "Action" 0.49 0.18 0 0.01 0.68
"2978" "NBA Street Vol. 2" "XB" "2003" "Sports" 0.62 0.04 0 0.02 0.68
"2982" "NCAA Football 2005" "XB" "2004" "Sports" 0.63 0.02 0 0.03 0.68
"2986" "Prince of Persia: The Two Thrones" "PS2" "2005" "Action" 0.57 0.02 0 0.09 0.68
"2990" "Mercenaries: Playground of Destruction" "XB" "2005" "Action" 0.54 0.11 0 0.03 0.68
"2997" "FIFA Soccer 06" "XB" "2005" "Sports" 0.29 0.38 0 0.01 0.68
"3028" "Virtua Tennis: World Tour (US & Others sales)" "PSP" "2005" "Sports" 0.16 0.36 0 0.14 0.67
"3042" "The Fairly Odd Parents: Breakin Da Rules" "PS2" "2003" "Platform" 0.33 0.25 0 0.09 0.67
"3053" "NFL Street" "XB" "2004" "Sports" 0.49 0.15 0 0.02 0.66
"3057" "MLB 2004" "PS2" "2003" "Sports" 0.32 0.25 0 0.08 0.66
"3061" "NCAA March Madness 2003" "PS2" "2002" "Sports" 0.32 0.25 0 0.08 0.66
"3062" "Finding Nemo" "XB" "2003" "Action" 0.48 0.16 0 0.02 0.66
"3066" "Madagascar" "GC" "2005" "Platform" 0.52 0.13 0 0.02 0.66
"3083" "Shrek: Hassle at the Castle" "GBA" "2002" "Action" 0.47 0.17 0 0.01 0.66
"3086" "Disney's Kim Possible 2: Drakken's Demise" "GBA" "2004" "Platform" 0.47 0.17 0 0.01 0.66
"3103" "Disney's Chicken Little" "PS2" "2005" "Platform" 0.32 0.25 0 0.08 0.65
"3105" "Yoshi Topsy-Turvy" "GBA" "2004" "Platform" 0.25 0.09 0.3 0.01 0.65
"3121" "Harry Potter and the Goblet of Fire" "PS2" "2005" "Action" 0.54 0.02 0 0.09 0.65
"3136" "Crash Bandicoot Purple: Ripto's Rampage" "GBA" "2004" "Platform" 0.46 0.17 0 0.01 0.64
"3138" "Spyro: A Hero's Tail" "PS2" "2004" "Platform" 0.32 0.25 0 0.08 0.64
"3141" "Crash: Twinsanity" "PS2" "2004" "Platform" 0.32 0.25 0 0.08 0.64
"3152" "X2: Wolverine's Revenge" "PS2" "2003" "Platform" 0.31 0.24 0 0.08 0.64
"3154" "NBA Live 06" "XB" "2005" "Sports" 0.57 0.04 0 0.03 0.64
"3181" "Lemony Snicket's A Series of Unfortunate Events" "PS2" "2004" "Platform" 0.31 0.24 0 0.08 0.64
"3191" "Tony Hawk's Pro Skater 2x" "XB" "2001" "Sports" 0.41 0.19 0 0.03 0.63
"3193" "FIFA Soccer 2003" "XB" "2002" "Sports" 0.2 0.4 0 0.04 0.63
"3214" "Ape Escape 2" "PS2" "2002" "Platform" 0.12 0.09 0.38 0.03 0.63
"3225" "FIFA Soccer 2002" "PS2" "2001" "Sports" 0.31 0.24 0 0.08 0.63
"3240" "Tony Hawk's American Wasteland" "XB" "2005" "Sports" 0.4 0.2 0 0.03 0.62
"3250" "Tiger Woods PGA Tour 2004" "XB" "2003" "Sports" 0.47 0.13 0 0.02 0.62
"3254" "Tak 2: The Staff of Dreams" "PS2" "2004" "Platform" 0.3 0.24 0 0.08 0.62
"3258" "Viewtiful Joe" "GC" "2003" "Action" 0.38 0.1 0.12 0.02 0.62
"3264" "Strike Force Bowling" "PS2" "2004" "Sports" 0.3 0.24 0 0.08 0.62
"3289" "NFL Fever 2003" "XB" "2002" "Sports" 0.46 0.13 0 0.02 0.61
"3295" "Dora the Explorer: Super Spies" "GBA" "2004" "Platform" 0.44 0.16 0 0.01 0.61
"3319" "Madden NFL 2003" "GBA" "2002" "Sports" 0.44 0.16 0 0.01 0.61
"3321" "Harry Potter and the Goblet of Fire" "GBA" "2005" "Action" 0.44 0.16 0 0.01 0.61
"3322" "Dragon Ball Z: Buu's Fury" "GBA" "2004" "Action" 0.44 0.16 0 0.01 0.61
"3323" "Madden NFL 2002" "GC" "2001" "Sports" 0.47 0.12 0 0.02 0.61
"3326" "Spider-Man: Mysterio's Menace" "GBA" "2001" "Action" 0.43 0.16 0 0.01 0.61
"3335" "Tony Hawk's Underground" "GBA" "2003" "Sports" 0.43 0.16 0 0.01 0.6
"3338" "Shadow The Hedgehog" "PS2" "2005" "Platform" 0.5 0.02 0 0.08 0.6
"3406" "2002 FIFA World Cup" "PS2" "2002" "Sports" 0.21 0.17 0.16 0.06 0.59
"3407" "MVP Baseball 2004" "XB" "2004" "Sports" 0.44 0.13 0 0.02 0.59
"3408" "Crash Bandicoot: The Wrath of Cortex" "GC" "2002" "Platform" 0.46 0.12 0 0.02 0.59
"3416" "Dead or Alive Xtreme Beach Volleyball" "XB" "2003" "Sports" 0.36 0.08 0.14 0.02 0.59
"3427" "Mega Man Anniversary Collection" "PS2" "2004" "Platform" 0.29 0.22 0 0.08 0.59
"3434" "Backyard NBA Basketball" "PS2" "2003" "Sports" 0.29 0.22 0 0.07 0.59
"3438" "Mega Man X7" "PS2" "2003" "Action" 0.22 0.17 0.14 0.06 0.58
"3463" "Terminator 3: Rise of the Machines" "PS2" "2003" "Action" 0.28 0.22 0 0.07 0.58
"3473" "Prince of Persia: The Two Thrones" "XB" "2005" "Action" 0.33 0.22 0 0.03 0.58
"3491" "Tony Hawk's Pro Skater 4" "GC" "2002" "Sports" 0.45 0.12 0 0.02 0.58
"3494" "NHL 06" "PS2" "2005" "Sports" 0.48 0.02 0 0.08 0.58
"3512" "Tony Hawk's Pro Skater 4" "GBA" "2002" "Sports" 0.41 0.15 0 0.01 0.57
"3518" "Spyro Orange: The Cortex Conspiracy" "GBA" "2004" "Action" 0.41 0.15 0 0.01 0.57
"3525" "Madden NFL 06" "GC" "2005" "Sports" 0.44 0.11 0 0.02 0.57
"3539" "Dynasty Warriors 5: Xtreme Legends" "PS2" "2005" "Action" 0.11 0.08 0.35 0.03 0.57
"3546" "SpongeBob SquarePants: Battle for Bikini Bottom" "XB" "2003" "Platform" 0.45 0.1 0 0.02 0.57
"3551" "Resident Evil Outbreak File #2" "PS2" "2004" "Action" 0.19 0.15 0.17 0.05 0.57
"3561" "True Crime: Streets of LA" "GC" "2003" "Action" 0.44 0.11 0 0.02 0.56
"3564" "The Incredible Hulk" "GBA" "2003" "Action" 0.4 0.15 0 0.01 0.56
"3567" "The Lord of the Rings: The Return of the King" "GBA" "2003" "Action" 0.4 0.15 0 0.01 0.56
"3568" "NHL Hitz 20-02" "PS2" "2001" "Sports" 0.28 0.22 0 0.07 0.56
"3572" "Monsters, Inc. Scream Team" "PS" "2001" "Platform" 0.31 0.21 0 0.04 0.56
"3576" "Cabela's Big Game Hunter 2005 Adventures" "PS2" "2004" "Sports" 0.28 0.21 0 0.07 0.56
"3584" "All-Star Baseball 2002" "PS2" "2001" "Sports" 0.27 0.21 0 0.07 0.56
"3585" "Backyard NFL Football" "GBA" "2002" "Sports" 0.4 0.15 0 0.01 0.56
"3601" "Batman Begins" "PS2" "2005" "Action" 0.27 0.21 0 0.07 0.56
"3606" "Blinx: The Time Sweeper" "XB" "2002" "Platform" 0.39 0.15 0 0.02 0.56
"3609" "ESPN NFL Football" "PS2" "2003" "Sports" 0.27 0.21 0 0.07 0.56
"3612" "Major League Baseball 2K5" "XB" "2005" "Sports" 0.52 0.02 0 0.02 0.56
"3633" "Soul Reaver 2" "PS2" "2001" "Action" 0.27 0.21 0 0.07 0.55
"3634" "Metal Gear Solid 3: Subsistence" "PS2" "2005" "Action" 0.34 0.01 0.15 0.06 0.55
"3650" "Extermination" "PS2" "2001" "Action" 0.21 0.16 0.12 0.05 0.55
"3658" "Derby Stallion 04" "PS2" "2004" "Sports" 0 0 0.55 0 0.55
"3662" "Tony Hawk's Pro Skater 3" "XB" "2002" "Sports" 0.34 0.18 0 0.02 0.55
"3663" "Mega Man Zero" "GBA" "2002" "Platform" 0.22 0.08 0.24 0.01 0.55
"3669" "Shrek 2" "XB" "2004" "Platform" 0.4 0.13 0 0.02 0.55
"3670" "Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!" "PS2" "2002" "Sports" 0 0 0.55 0 0.55
"3672" "SpongeBob SquarePants: SuperSponge" "GBA" "2001" "Action" 0.39 0.15 0 0.01 0.55
"3677" "Tak and the Power of Juju" "GBA" "2003" "Platform" 0.39 0.15 0 0.01 0.55
"3693" "The SpongeBob SquarePants Movie" "XB" "2004" "Platform" 0.4 0.12 0 0.02 0.54
"3707" "The Fairly Odd Parents: Breakin' Da Rules" "GBA" "2003" "Platform" 0.39 0.14 0 0.01 0.54
"3724" "Fire Emblem: Path of Radiance" "GC" "2005" "Action" 0.29 0.08 0.16 0.01 0.54
"3737" "SSX Tricky" "GC" "2001" "Sports" 0.42 0.11 0 0.01 0.54
"3742" "World Soccer Winning Eleven 7 International (JP version)" "PS2" "2004" "Sports" 0 0 0.54 0 0.54
"3743" "ESPN NBA Basketball" "PS2" "2003" "Sports" 0.26 0.21 0 0.07 0.54
"3746" "Mat Hoffman's Pro BMX" "PS" "2001" "Sports" 0.3 0.2 0 0.04 0.54
"3751" "The Hobbit" "PS2" "2003" "Platform" 0.26 0.2 0 0.07 0.54
"3755" "The Incredible Hulk: Ultimate Destruction" "PS2" "2005" "Action" 0.26 0.2 0 0.07 0.54
"3761" "NCAA March Madness 06" "PS2" "2005" "Sports" 0.45 0.02 0 0.07 0.53
"3766" "Legacy of Kain: Defiance" "PS2" "2003" "Action" 0.26 0.2 0 0.07 0.53
"3768" "NCAA March Madness 2005" "PS2" "2004" "Sports" 0.44 0.02 0 0.07 0.53
"3774" "MLB SlugFest 20-04" "PS2" "2003" "Sports" 0.26 0.2 0 0.07 0.53
"3777" "Blitz: The League" "XB" "2004" "Sports" 0.4 0.11 0 0.02 0.53
"3784" "Peter Jackson's King Kong: The Official Game of the Movie" "XB" "2005" "Action" 0.34 0.17 0 0.02 0.53
"3791" "Ty the Tasmanian Tiger 2: Bush Rescue" "PS2" "2004" "Platform" 0.26 0.2 0 0.07 0.53
"3792" "The Lord of the Rings: The Fellowship of the Ring" "XB" "2002" "Action" 0.31 0.19 0 0.03 0.53
"3793" "NBA 06" "PS2" "2005" "Sports" 0.26 0.2 0 0.07 0.53
"3808" "Oni" "PS2" "2001" "Action" 0.26 0.2 0 0.07 0.53
"3809" "The Lord of the Rings: The Two Towers" "GC" "2002" "Action" 0.41 0.11 0 0.01 0.53
"3811" "The Warriors" "PS2" "2005" "Action" 0.44 0.02 0 0.07 0.53
"3823" "Mario Tennis: Power Tour" "GBA" "2005" "Sports" 0.24 0.09 0.19 0.01 0.52
"3838" "Metal Gear Solid 2: Substance" "PS2" "2002" "Action" 0.18 0.14 0.16 0.05 0.52
"3840" "NCAA Football 2003" "XB" "2002" "Sports" 0.39 0.11 0 0.02 0.52
"3856" "J-League Pro Soccer Club o Tsukurou! 3" "PS2" "2003" "Sports" 0 0 0.52 0 0.52
"3864" "The Punisher" "PS2" "2005" "Action" 0.25 0.2 0 0.07 0.52
"3867" "SSX On Tour" "PS2" "2005" "Sports" 0.25 0.2 0 0.07 0.52
"3868" "Tony Hawk's Pro Skater 3" "GBA" "2002" "Sports" 0.37 0.14 0 0.01 0.52
"3869" "Harry Potter and the Prisoner of Azkaban" "GBA" "2004" "Action" 0.37 0.14 0 0.01 0.52
"3874" "NFL 2K3" "XB" "2002" "Sports" 0.38 0.11 0 0.02 0.52
"3875" "NBA Live 2002" "PS" "2001" "Sports" 0.29 0.19 0 0.03 0.52
"3878" "Way of the Samurai" "PS2" "2002" "Action" 0.13 0.1 0.25 0.03 0.51
"3897" "Madden NFL 2004" "GC" "2003" "Sports" 0.4 0.1 0 0.01 0.51
"3898" "Jikkyou Powerful Pro Yakyuu 10" "PS2" "2003" "Sports" 0 0 0.51 0 0.51
"3904" "Dynasty Warriors" "PSP" "2004" "Action" 0.18 0.01 0.3 0.02 0.51
"3915" "NBA Live 2004" "XB" "2003" "Sports" 0.44 0.04 0 0.02 0.51
"3917" "Disney's Kim Possible: Revenge of Monkey Fist" "GBA" "2002" "Platform" 0.37 0.14 0 0.01 0.51
"3939" "NBA Ballers" "XB" "2004" "Sports" 0.37 0.11 0 0.02 0.51
"3940" "Silent Hill 4: The Room" "PS2" "2004" "Action" 0.25 0.19 0 0.06 0.51
"3948" "The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies" "GBA" "2004" "Action" 0.36 0.13 0 0.01 0.5
"3952" "Looney Tunes: Back in Action" "PS2" "2003" "Platform" 0.25 0.19 0 0.06 0.5
"3964" "The Mummy Returns" "PS2" "2001" "Action" 0.25 0.19 0 0.06 0.5
"3985" "Spider-Man 2" "DS" "2004" "Action" 0.41 0.02 0.03 0.04 0.5
"3992" "The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies" "PS2" "2004" "Action" 0.24 0.19 0 0.06 0.5
"4001" "Tony Hawk's Underground 2" "GC" "2004" "Sports" 0.38 0.1 0 0.01 0.5
"4005" "Shrek SuperSlam" "PS2" "2005" "Action" 0.24 0.19 0 0.06 0.5
"4006" "Rayman Advance" "GBA" "2001" "Platform" 0.36 0.13 0 0.01 0.5
"4010" "Fantastic 4" "PS2" "2005" "Action" 0.41 0.01 0 0.07 0.5
"4024" "Tony Hawk's Underground 2" "GBA" "2004" "Sports" 0.35 0.13 0 0.01 0.49
"4029" "The Matrix: Path of Neo" "PS2" "2005" "Action" 0.41 0.01 0 0.07 0.49
"4034" "Power Rangers: Dino Thunder" "GBA" "2003" "Action" 0.35 0.13 0 0.01 0.49
"4053" "Backyard Baseball" "PS2" "2004" "Sports" 0.24 0.19 0 0.06 0.49
"4055" "Barbie Horse Adventures: Wild Horse Rescue" "PS2" "2003" "Sports" 0.24 0.19 0 0.06 0.49
"4067" "Pac-Man World 2" "XB" "2002" "Action" 0.36 0.11 0 0.02 0.49
"4089" "Madagascar: Operation Penguin" "GBA" "2005" "Action" 0.35 0.13 0 0.01 0.48
"4095" "NFL Street 2" "XB" "2004" "Sports" 0.36 0.11 0 0.02 0.48
"4137" "Tiger Woods PGA Tour 06" "XB" "2005" "Sports" 0.35 0.11 0 0.02 0.48
"4163" "Castlevania: Dawn of Sorrow" "DS" "2005" "Platform" 0.37 0.04 0.03 0.04 0.47
"4167" "ICO" "PS2" "2001" "Action" 0.23 0.18 0 0.06 0.47
"4175" "Densetsu no Stafi" "GBA" "2002" "Platform" 0 0 0.46 0.01 0.47
"4207" "World Soccer Winning Eleven 8: Liveware Evolution" "PS2" "2005" "Sports" 0 0 0.47 0 0.47
"4217" "Kong: The 8th Wonder of the World" "GBA" "2005" "Action" 0.33 0.12 0 0.01 0.47
"4223" "Metal Gear Solid: The Twin Snakes" "GC" "2004" "Action" 0.3 0.08 0.07 0.01 0.47
"4225" "Mat Hoffman's Pro BMX 2" "PS2" "2002" "Sports" 0.23 0.18 0 0.06 0.46
"4238" "Disney's Kim Possible 3: Team Possible" "GBA" "2005" "Platform" 0.33 0.12 0 0.01 0.46
"4239" "Rygar: The Legendary Adventure" "PS2" "2002" "Action" 0.2 0.15 0.06 0.05 0.46
"4244" "Stuart Little 2" "GBA" "2002" "Platform" 0.33 0.12 0 0.01 0.46
"4247" "Tak 2: The Staff of Dreams" "GBA" "2004" "Platform" 0.33 0.12 0 0.01 0.46
"4257" "Scooby-Doo" "GBA" "2001" "Platform" 0.33 0.12 0 0.01 0.46
"4269" "The Mark of Kri" "PS2" "2002" "Action" 0.22 0.18 0 0.06 0.46
"4271" "Rugrats: Castle Capers" "GBA" "2001" "Action" 0.33 0.12 0 0.01 0.46
"4302" "Top Spin" "XB" "2003" "Sports" 0.36 0.08 0 0.02 0.46
"4312" "2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild" "GBA" "2005" "Platform" 0.33 0.12 0 0.01 0.45
"4319" "Jikkyou Powerful Pro Yakyuu 12" "PS2" "2005" "Sports" 0 0 0.45 0 0.45
"4320" "Enter the Matrix" "GC" "2003" "Action" 0.34 0.09 0.02 0.01 0.45
"4327" "The Powerpuff Girls: Relish Rampage" "PS2" "2002" "Action" 0.22 0.17 0 0.06 0.45
"4343" "NHL 2005" "PS2" "2004" "Sports" 0.22 0.17 0 0.06 0.45
"4361" "World Soccer Winning Eleven 5 Final Evolution" "PS2" "2001" "Sports" 0 0 0.45 0 0.45
"4363" "Sphinx and the Cursed Mummy" "PS2" "2003" "Action" 0.22 0.17 0 0.06 0.45
"4387" "Samurai Warriors: Xtreme Legends" "PS2" "2004" "Action" 0.04 0.03 0.36 0.01 0.45
"4393" "NBA Live 2005" "GC" "2004" "Sports" 0.35 0.09 0 0.01 0.45
"4396" "Dragon Quest Heroes: Rocket Slime" "DS" "2005" "Action" 0.13 0 0.31 0.01 0.45
"4404" "Scooby-Doo! Mystery Mayhem" "PS2" "2004" "Action" 0.22 0.17 0 0.06 0.45
"4405" "Mario Golf: Advance Tour" "GBA" "2004" "Sports" 0.32 0.12 0 0.01 0.45
"4414" "World Soccer Winning Eleven 9" "XB" "2005" "Sports" 0.06 0.33 0.02 0.03 0.44
"4416" "Teenage Mutant Ninja Turtles 2: Battle Nexus" "PS2" "2004" "Action" 0.22 0.17 0 0.06 0.44
"4422" "Van Helsing" "PS2" "2004" "Action" 0.22 0.17 0 0.06 0.44
"4428" "Spawn: Armageddon" "PS2" "2003" "Action" 0.22 0.17 0 0.06 0.44
"4433" "Tiger Woods PGA Tour 2003" "XB" "2002" "Sports" 0.35 0.08 0 0.01 0.44
"4437" "50 Cent: Bulletproof" "XB" "2005" "Action" 0.33 0.1 0 0.02 0.44
"4438" "Densetsu no Stafi 2" "GBA" "2003" "Platform" 0 0 0.43 0.01 0.44
"4459" "Army Men World War: Final Front" "PS" "2001" "Action" 0.24 0.17 0 0.03 0.44
"4464" "Jikkyou Powerful Pro Yakyuu 9" "PS2" "2002" "Sports" 0 0 0.44 0 0.44
"4468" "Wario World" "GC" "2003" "Platform" 0.34 0.09 0 0.01 0.44
"4469" "Scooby-Doo! Mystery Mayhem" "GBA" "2003" "Action" 0.31 0.12 0 0.01 0.44
"4476" "Battlebots: Design & Destroy" "GBA" "2003" "Action" 0.31 0.12 0 0.01 0.44
"4479" "Power Rangers: S.P.D." "GBA" "2004" "Action" 0.31 0.12 0 0.01 0.44
"4484" "Mobile Suit Gundam: One Year War" "PS2" "2005" "Action" 0 0 0.44 0 0.44
"4486" "NFL Blitz 20-03" "PS2" "2002" "Sports" 0.21 0.17 0 0.06 0.44
"4497" "Primal" "PS2" "2003" "Action" 0.21 0.17 0 0.06 0.43
"4498" "Madden NFL 2002" "N64" "2001" "Sports" 0.41 0.02 0 0 0.43
"4502" "SSX Tricky" "XB" "2001" "Sports" 0.32 0.09 0 0.02 0.43
"4505" "The Chronicles of Narnia: The Lion, The Witch and The Wardrobe" "PS2" "2005" "Action" 0.36 0.01 0 0.06 0.43
"4509" "NCAA Football 2004" "XB" "2003" "Sports" 0.4 0.02 0 0.02 0.43
"4513" "Bionicle" "PS2" "2003" "Action" 0.21 0.17 0 0.06 0.43
"4515" "MLB 2002" "PS" "2001" "Sports" 0.24 0.16 0 0.03 0.43
"4521" "The Powerpuff Girls: Him and Seek" "GBA" "2002" "Platform" 0.31 0.11 0 0.01 0.43
"4522" "Mega Man Zero 2" "GBA" "2003" "Platform" 0.18 0.07 0.17 0.01 0.43
"4529" "Hunter: The Reckoning  Wayward" "PS2" "2003" "Action" 0.21 0.16 0 0.06 0.43
"4538" "EyeToy: AntiGrav" "PS2" "2004" "Sports" 0.36 0.01 0 0.06 0.43
"4551" "Madden NFL 2003" "GC" "2002" "Sports" 0.33 0.09 0 0.01 0.43
"4554" "Backyard Baseball" "GBA" "2002" "Sports" 0.31 0.11 0 0.01 0.43
"4570" "NBA Street" "GC" "2002" "Sports" 0.33 0.09 0 0.01 0.42
"4578" "NHL 2K6" "PS2" "2005" "Sports" 0.21 0.16 0 0.05 0.42
"4587" "Tony Hawk's American Wasteland" "GC" "2005" "Sports" 0.33 0.08 0 0.01 0.42
"4589" "Famicom Mini: Super Mario Bros. 2" "GBA" "2004" "Platform" 0 0 0.41 0.01 0.42
"4594" "All-Star Baseball 2004" "PS2" "2003" "Sports" 0.21 0.16 0 0.05 0.42
"4595" "Big Strike Bowling" "PS" "2003" "Sports" 0.23 0.16 0 0.03 0.42
"4602" "ESPN NHL 2K5" "XB" "2004" "Sports" 0.32 0.09 0 0.02 0.42
"4606" "Superman: Shadow of Apokolips" "PS2" "2002" "Action" 0.21 0.16 0 0.05 0.42
"4610" "Star Wars Trilogy: Apprentice of the Force" "GBA" "2004" "Action" 0.3 0.11 0 0.01 0.42
"4612" "Lemony Snicket's A Series of Unfortunate Events" "GBA" "2004" "Platform" 0.3 0.11 0 0.01 0.42
"4614" "NBA Live 06" "PSP" "2005" "Sports" 0.39 0 0 0.03 0.42
"4619" "Jikkyou Powerful Pro Yakyuu 11" "PS2" "2004" "Sports" 0 0 0.42 0 0.42
"4621" "The Adventures of Jimmy Neutron Boy Genius: Jet Fusion" "PS2" "2003" "Action" 0.21 0.16 0 0.05 0.42
"4633" "Mega Man Anniversary Collection" "GC" "2004" "Platform" 0.32 0.08 0 0.01 0.42
"4639" "Harry Potter and the Goblet of Fire" "GC" "2005" "Action" 0.32 0.08 0 0.01 0.42
"4643" "Condemned: Criminal Origins" "X360" "2005" "Action" 0.36 0.03 0 0.03 0.42
"4644" "Mega Man X6" "PS" "2001" "Action" 0.14 0.1 0.16 0.03 0.42
"4648" "Castlevania: Curse of Darkness" "PS2" "2005" "Action" 0.18 0.14 0.05 0.05 0.42
"4652" "Jimmy Neutron: Boy Genius" "GBA" "2001" "Platform" 0.3 0.11 0 0.01 0.42
"4670" "The Suffering" "PS2" "2004" "Action" 0.2 0.16 0 0.05 0.42
"4675" "NBA Jam" "PS2" "2003" "Sports" 0.2 0.16 0 0.05 0.41
"4681" "NFL GameDay 2004" "PS2" "2003" "Sports" 0.2 0.16 0 0.05 0.41
"4706" "Jimmy Neutron: Boy Genius" "PS2" "2002" "Platform" 0.2 0.16 0 0.05 0.41
"4732" "The Terminator: Dawn of Fate" "PS2" "2002" "Action" 0.2 0.16 0 0.05 0.41
"4767" "Ed, Edd n Eddy: The Mis-Edventures" "PS2" "2005" "Platform" 0.34 0.01 0 0.06 0.41
"4769" "Disney's Tarzan Untamed" "PS2" "2001" "Platform" 0.2 0.16 0 0.05 0.41
"4773" "From Russia With Love" "PS2" "2005" "Action" 0.34 0.01 0 0.06 0.41
"4778" "Minority Report: Everybody Runs" "PS2" "2002" "Action" 0.2 0.15 0 0.05 0.41
"4780" "NFL GameDay 2002" "PS" "2001" "Sports" 0.23 0.15 0 0.03 0.4
"4789" "Tak and the Power of Juju" "GC" "2003" "Platform" 0.31 0.08 0 0.01 0.4
"4804" "Harry Potter: Quidditch World Cup" "GC" "2003" "Sports" 0.31 0.08 0 0.01 0.4
"4810" "The Incredibles: Rise of the Underminer" "GBA" "2005" "Action" 0.29 0.11 0 0.01 0.4
"4814" "Power Rangers: Dino Thunder" "GC" "2004" "Action" 0.31 0.08 0 0.01 0.4
"4837" "MLB 2006" "PS2" "2005" "Sports" 0.33 0.01 0 0.05 0.4
"4841" "Rocket Power: Dream Scheme" "GBA" "2001" "Action" 0.29 0.11 0 0.01 0.4
"4849" "Nicktoons: Freeze Frame Frenzy" "GBA" "2004" "Action" 0.29 0.11 0 0.01 0.4
"4861" "NBA Live 2002" "XB" "2001" "Sports" 0.35 0.03 0 0.02 0.4
