Nombre,Plataforma,Fecha,Genero,VentasEEUU,VentasEU,VentasJP,VentasOtros,Ventas
FIFA Soccer 06,XB,2005,Sports,0.29,0.38,0.0,0.01,0.68
Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,0.16,0.36,0.0,0.14,0.67
The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,0.33,0.25,0.0,0.09,0.67
NFL Street,XB,2004,Sports,0.49,0.15,0.0,0.02,0.66
MLB 2004,PS2,2003,Sports,0.32,0.25,0.0,0.08,0.66
NCAA March Madness 2003,PS2,2002,Sports,0.32,0.25,0.0,0.08,0.66
Finding Nemo,XB,2003,Action,0.48,0.16,0.0,0.02,0.66
Madagascar,GC,2005,Platform,0.52,0.13,0.0,0.02,0.66
Shrek: Hassle at the Castle,GBA,2002,Action,0.47,0.17,0.0,0.01,0.66
Disney's Kim Possible 2: Drakken's Demise,GBA,2004,Platform,0.47,0.17,0.0,0.01,0.66
Disney's Chicken Little,PS2,2005,Platform,0.32,0.25,0.0,0.08,0.65
Yoshi Topsy-Turvy,GBA,2004,Platform,0.25,0.09,0.3,0.01,0.65
Harry Potter and the Goblet of Fire,PS2,2005,Action,0.54,0.02,0.0,0.09,0.65
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,0.46,0.17,0.0,0.01,0.64
Spyro: A Hero's Tail,PS2,2004,Platform,0.32,0.25,0.0,0.08,0.64
Crash: Twinsanity,PS2,2004,Platform,0.32,0.25,0.0,0.08,0.64
X2: Wolverine's Revenge,PS2,2003,Platform,0.31,0.24,0.0,0.08,0.64
NBA Live 06,XB,2005,Sports,0.57,0.04,0.0,0.03,0.64
Lemony Snicket's A Series of Unfortunate Events,PS2,2004,Platform,0.31,0.24,0.0,0.08,0.64
Tony Hawk's Pro Skater 2x,XB,2001,Sports,0.41,0.19,0.0,0.03,0.63
FIFA Soccer 2003,XB,2002,Sports,0.2,0.4,0.0,0.04,0.63
Ape Escape 2,PS2,2002,Platform,0.12,0.09,0.38,0.03,0.63
FIFA Soccer 2002,PS2,2001,Sports,0.31,0.24,0.0,0.08,0.63
Tony Hawk's American Wasteland,XB,2005,Sports,0.4,0.2,0.0,0.03,0.62
Tiger Woods PGA Tour 2004,XB,2003,Sports,0.47,0.13,0.0,0.02,0.62
Tak 2: The Staff of Dreams,PS2,2004,Platform,0.3,0.24,0.0,0.08,0.62
Viewtiful Joe,GC,2003,Action,0.38,0.1,0.12,0.02,0.62
Strike Force Bowling,PS2,2004,Sports,0.3,0.24,0.0,0.08,0.62
NFL Fever 2003,XB,2002,Sports,0.46,0.13,0.0,0.02,0.61
Dora the Explorer: Super Spies,GBA,2004,Platform,0.44,0.16,0.0,0.01,0.61
Madden NFL 2003,GBA,2002,Sports,0.44,0.16,0.0,0.01,0.61
Harry Potter and the Goblet of Fire,GBA,2005,Action,0.44,0.16,0.0,0.01,0.61
Dragon Ball Z: Buu's Fury,GBA,2004,Action,0.44,0.16,0.0,0.01,0.61
Madden NFL 2002,GC,2001,Sports,0.47,0.12,0.0,0.02,0.61
Spider-Man: Mysterio's Menace,GBA,2001,Action,0.43,0.16,0.0,0.01,0.61
Tony Hawk's Underground,GBA,2003,Sports,0.43,0.16,0.0,0.01,0.6
Shadow The Hedgehog,PS2,2005,Platform,0.5,0.02,0.0,0.08,0.6
2002 FIFA World Cup,PS2,2002,Sports,0.21,0.17,0.16,0.06,0.59
MVP Baseball 2004,XB,2004,Sports,0.44,0.13,0.0,0.02,0.59
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,0.46,0.12,0.0,0.02,0.59
Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,0.36,0.08,0.14,0.02,0.59
Mega Man Anniversary Collection,PS2,2004,Platform,0.29,0.22,0.0,0.08,0.59
Backyard NBA Basketball,PS2,2003,Sports,0.29,0.22,0.0,0.07,0.59
Mega Man X7,PS2,2003,Action,0.22,0.17,0.14,0.06,0.58
Terminator 3: Rise of the Machines,PS2,2003,Action,0.28,0.22,0.0,0.07,0.58
Prince of Persia: The Two Thrones,XB,2005,Action,0.33,0.22,0.0,0.03,0.58
Tony Hawk's Pro Skater 4,GC,2002,Sports,0.45,0.12,0.0,0.02,0.58
NHL 06,PS2,2005,Sports,0.48,0.02,0.0,0.08,0.58
Tony Hawk's Pro Skater 4,GBA,2002,Sports,0.41,0.15,0.0,0.01,0.57
Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,0.41,0.15,0.0,0.01,0.57
Madden NFL 06,GC,2005,Sports,0.44,0.11,0.0,0.02,0.57
Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,0.11,0.08,0.35,0.03,0.57
SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,0.45,0.1,0.0,0.02,0.57
Resident Evil Outbreak File #2,PS2,2004,Action,0.19,0.15,0.17,0.05,0.57
True Crime: Streets of LA,GC,2003,Action,0.44,0.11,0.0,0.02,0.56
The Incredible Hulk,GBA,2003,Action,0.4,0.15,0.0,0.01,0.56
The Lord of the Rings: The Return of the King,GBA,2003,Action,0.4,0.15,0.0,0.01,0.56
NHL Hitz 20-02,PS2,2001,Sports,0.28,0.22,0.0,0.07,0.56
"Monsters, Inc. Scream Team",PS,2001,Platform,0.31,0.21,0.0,0.04,0.56
Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,0.28,0.21,0.0,0.07,0.56
All-Star Baseball 2002,PS2,2001,Sports,0.27,0.21,0.0,0.07,0.56
Backyard NFL Football,GBA,2002,Sports,0.4,0.15,0.0,0.01,0.56
Batman Begins,PS2,2005,Action,0.27,0.21,0.0,0.07,0.56
Blinx: The Time Sweeper,XB,2002,Platform,0.39,0.15,0.0,0.02,0.56
ESPN NFL Football,PS2,2003,Sports,0.27,0.21,0.0,0.07,0.56
Major League Baseball 2K5,XB,2005,Sports,0.52,0.02,0.0,0.02,0.56
Soul Reaver 2,PS2,2001,Action,0.27,0.21,0.0,0.07,0.55
Metal Gear Solid 3: Subsistence,PS2,2005,Action,0.34,0.01,0.15,0.06,0.55
Extermination,PS2,2001,Action,0.21,0.16,0.12,0.05,0.55
Derby Stallion 04,PS2,2004,Sports,0.0,0.0,0.55,0.0,0.55
Tony Hawk's Pro Skater 3,XB,2002,Sports,0.34,0.18,0.0,0.02,0.55
Mega Man Zero,GBA,2002,Platform,0.22,0.08,0.24,0.01,0.55
Shrek 2,XB,2004,Platform,0.4,0.13,0.0,0.02,0.55
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,0.0,0.0,0.55,0.0,0.55
SpongeBob SquarePants: SuperSponge,GBA,2001,Action,0.39,0.15,0.0,0.01,0.55
Tak and the Power of Juju,GBA,2003,Platform,0.39,0.15,0.0,0.01,0.55
The SpongeBob SquarePants Movie,XB,2004,Platform,0.4,0.12,0.0,0.02,0.54
The Fairly Odd Parents: Breakin' Da Rules,GBA,2003,Platform,0.39,0.14,0.0,0.01,0.54
Fire Emblem: Path of Radiance,GC,2005,Action,0.29,0.08,0.16,0.01,0.54
SSX Tricky,GC,2001,Sports,0.42,0.11,0.0,0.01,0.54
World Soccer Winning Eleven 7 International (JP version),PS2,2004,Sports,0.0,0.0,0.54,0.0,0.54
ESPN NBA Basketball,PS2,2003,Sports,0.26,0.21,0.0,0.07,0.54
Mat Hoffman's Pro BMX,PS,2001,Sports,0.3,0.2,0.0,0.04,0.54
The Hobbit,PS2,2003,Platform,0.26,0.2,0.0,0.07,0.54
The Incredible Hulk: Ultimate Destruction,PS2,2005,Action,0.26,0.2,0.0,0.07,0.54
NCAA March Madness 06,PS2,2005,Sports,0.45,0.02,0.0,0.07,0.53
Legacy of Kain: Defiance,PS2,2003,Action,0.26,0.2,0.0,0.07,0.53
NCAA March Madness 2005,PS2,2004,Sports,0.44,0.02,0.0,0.07,0.53
MLB SlugFest 20-04,PS2,2003,Sports,0.26,0.2,0.0,0.07,0.53
Blitz: The League,XB,2004,Sports,0.4,0.11,0.0,0.02,0.53
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,0.34,0.17,0.0,0.02,0.53
Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,0.26,0.2,0.0,0.07,0.53
The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,0.31,0.19,0.0,0.03,0.53
NBA 06,PS2,2005,Sports,0.26,0.2,0.0,0.07,0.53
Oni,PS2,2001,Action,0.26,0.2,0.0,0.07,0.53
The Lord of the Rings: The Two Towers,GC,2002,Action,0.41,0.11,0.0,0.01,0.53
The Warriors,PS2,2005,Action,0.44,0.02,0.0,0.07,0.53
Mario Tennis: Power Tour,GBA,2005,Sports,0.24,0.09,0.19,0.01,0.52
Metal Gear Solid 2: Substance,PS2,2002,Action,0.18,0.14,0.16,0.05,0.52
NCAA Football 2003,XB,2002,Sports,0.39,0.11,0.0,0.02,0.52
J-League Pro Soccer Club o Tsukurou! 3,PS2,2003,Sports,0.0,0.0,0.52,0.0,0.52
The Punisher,PS2,2005,Action,0.25,0.2,0.0,0.07,0.52
SSX On Tour,PS2,2005,Sports,0.25,0.2,0.0,0.07,0.52
Tony Hawk's Pro Skater 3,GBA,2002,Sports,0.37,0.14,0.0,0.01,0.52
Harry Potter and the Prisoner of Azkaban,GBA,2004,Action,0.37,0.14,0.0,0.01,0.52
NFL 2K3,XB,2002,Sports,0.38,0.11,0.0,0.02,0.52
NBA Live 2002,PS,2001,Sports,0.29,0.19,0.0,0.03,0.52
Way of the Samurai,PS2,2002,Action,0.13,0.1,0.25,0.03,0.51
Madden NFL 2004,GC,2003,Sports,0.4,0.1,0.0,0.01,0.51
Jikkyou Powerful Pro Yakyuu 10,PS2,2003,Sports,0.0,0.0,0.51,0.0,0.51
Dynasty Warriors,PSP,2004,Action,0.18,0.01,0.3,0.02,0.51
NBA Live 2004,XB,2003,Sports,0.44,0.04,0.0,0.02,0.51
Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,Platform,0.37,0.14,0.0,0.01,0.51
NBA Ballers,XB,2004,Sports,0.37,0.11,0.0,0.02,0.51
Silent Hill 4: The Room,PS2,2004,Action,0.25,0.19,0.0,0.06,0.51
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,2004,Action,0.36,0.13,0.0,0.01,0.5
Looney Tunes: Back in Action,PS2,2003,Platform,0.25,0.19,0.0,0.06,0.5
The Mummy Returns,PS2,2001,Action,0.25,0.19,0.0,0.06,0.5
Spider-Man 2,DS,2004,Action,0.41,0.02,0.03,0.04,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,2004,Action,0.24,0.19,0.0,0.06,0.5
Tony Hawk's Underground 2,GC,2004,Sports,0.38,0.1,0.0,0.01,0.5
Shrek SuperSlam,PS2,2005,Action,0.24,0.19,0.0,0.06,0.5
Rayman Advance,GBA,2001,Platform,0.36,0.13,0.0,0.01,0.5
Fantastic 4,PS2,2005,Action,0.41,0.01,0.0,0.07,0.5
Tony Hawk's Underground 2,GBA,2004,Sports,0.35,0.13,0.0,0.01,0.49
The Matrix: Path of Neo,PS2,2005,Action,0.41,0.01,0.0,0.07,0.49
Power Rangers: Dino Thunder,GBA,2003,Action,0.35,0.13,0.0,0.01,0.49
Backyard Baseball,PS2,2004,Sports,0.24,0.19,0.0,0.06,0.49
Barbie Horse Adventures: Wild Horse Rescue,PS2,2003,Sports,0.24,0.19,0.0,0.06,0.49
Pac-Man World 2,XB,2002,Action,0.36,0.11,0.0,0.02,0.49
Madagascar: Operation Penguin,GBA,2005,Action,0.35,0.13,0.0,0.01,0.48
NFL Street 2,XB,2004,Sports,0.36,0.11,0.0,0.02,0.48
Tiger Woods PGA Tour 06,XB,2005,Sports,0.35,0.11,0.0,0.02,0.48
Castlevania: Dawn of Sorrow,DS,2005,Platform,0.37,0.04,0.03,0.04,0.47
ICO,PS2,2001,Action,0.23,0.18,0.0,0.06,0.47
Densetsu no Stafi,GBA,2002,Platform,0.0,0.0,0.46,0.01,0.47
World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Sports,0.0,0.0,0.47,0.0,0.47
Kong: The 8th Wonder of the World,GBA,2005,Action,0.33,0.12,0.0,0.01,0.47
Metal Gear Solid: The Twin Snakes,GC,2004,Action,0.3,0.08,0.07,0.01,0.47
Mat Hoffman's Pro BMX 2,PS2,2002,Sports,0.23,0.18,0.0,0.06,0.46
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,0.33,0.12,0.0,0.01,0.46
Rygar: The Legendary Adventure,PS2,2002,Action,0.2,0.15,0.06,0.05,0.46
Stuart Little 2,GBA,2002,Platform,0.33,0.12,0.0,0.01,0.46
Tak 2: The Staff of Dreams,GBA,2004,Platform,0.33,0.12,0.0,0.01,0.46
Scooby-Doo,GBA,2001,Platform,0.33,0.12,0.0,0.01,0.46
The Mark of Kri,PS2,2002,Action,0.22,0.18,0.0,0.06,0.46
Rugrats: Castle Capers,GBA,2001,Action,0.33,0.12,0.0,0.01,0.46
Top Spin,XB,2003,Sports,0.36,0.08,0.0,0.02,0.46
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,0.33,0.12,0.0,0.01,0.45
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,0.0,0.0,0.45,0.0,0.45
Enter the Matrix,GC,2003,Action,0.34,0.09,0.02,0.01,0.45
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,0.22,0.17,0.0,0.06,0.45
NHL 2005,PS2,2004,Sports,0.22,0.17,0.0,0.06,0.45
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,0.0,0.0,0.45,0.0,0.45
Sphinx and the Cursed Mummy,PS2,2003,Action,0.22,0.17,0.0,0.06,0.45
Samurai Warriors: Xtreme Legends,PS2,2004,Action,0.04,0.03,0.36,0.01,0.45
NBA Live 2005,GC,2004,Sports,0.35,0.09,0.0,0.01,0.45
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,0.13,0.0,0.31,0.01,0.45
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,0.22,0.17,0.0,0.06,0.45
Mario Golf: Advance Tour,GBA,2004,Sports,0.32,0.12,0.0,0.01,0.45
World Soccer Winning Eleven 9,XB,2005,Sports,0.06,0.33,0.02,0.03,0.44
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,0.22,0.17,0.0,0.06,0.44
Van Helsing,PS2,2004,Action,0.22,0.17,0.0,0.06,0.44
Spawn: Armageddon,PS2,2003,Action,0.22,0.17,0.0,0.06,0.44
Tiger Woods PGA Tour 2003,XB,2002,Sports,0.35,0.08,0.0,0.01,0.44
50 Cent: Bulletproof,XB,2005,Action,0.33,0.1,0.0,0.02,0.44
Densetsu no Stafi 2,GBA,2003,Platform,0.0,0.0,0.43,0.01,0.44
Army Men World War: Final Front,PS,2001,Action,0.24,0.17,0.0,0.03,0.44
Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,0.0,0.0,0.44,0.0,0.44
Wario World,GC,2003,Platform,0.34,0.09,0.0,0.01,0.44
Scooby-Doo! Mystery Mayhem,GBA,2003,Action,0.31,0.12,0.0,0.01,0.44
Battlebots: Design & Destroy,GBA,2003,Action,0.31,0.12,0.0,0.01,0.44
Power Rangers: S.P.D.,GBA,2004,Action,0.31,0.12,0.0,0.01,0.44
Mobile Suit Gundam: One Year War,PS2,2005,Action,0.0,0.0,0.44,0.0,0.44
NFL Blitz 20-03,PS2,2002,Sports,0.21,0.17,0.0,0.06,0.44
Primal,PS2,2003,Action,0.21,0.17,0.0,0.06,0.43
Madden NFL 2002,N64,2001,Sports,0.41,0.02,0.0,0.0,0.43
SSX Tricky,XB,2001,Sports,0.32,0.09,0.0,0.02,0.43
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005,Action,0.36,0.01,0.0,0.06,0.43
NCAA Football 2004,XB,2003,Sports,0.4,0.02,0.0,0.02,0.43
Bionicle,PS2,2003,Action,0.21,0.17,0.0,0.06,0.43
MLB 2002,PS,2001,Sports,0.24,0.16,0.0,0.03,0.43
The Powerpuff Girls: Him and Seek,GBA,2002,Platform,0.31,0.11,0.0,0.01,0.43
Mega Man Zero 2,GBA,2003,Platform,0.18,0.07,0.17,0.01,0.43
Hunter: The Reckoning  Wayward,PS2,2003,Action,0.21,0.16,0.0,0.06,0.43
EyeToy: AntiGrav,PS2,2004,Sports,0.36,0.01,0.0,0.06,0.43
Madden NFL 2003,GC,2002,Sports,0.33,0.09,0.0,0.01,0.43
Backyard Baseball,GBA,2002,Sports,0.31,0.11,0.0,0.01,0.43
NBA Street,GC,2002,Sports,0.33,0.09,0.0,0.01,0.42
NHL 2K6,PS2,2005,Sports,0.21,0.16,0.0,0.05,0.42
Tony Hawk's American Wasteland,GC,2005,Sports,0.33,0.08,0.0,0.01,0.42
Famicom Mini: Super Mario Bros. 2,GBA,2004,Platform,0.0,0.0,0.41,0.01,0.42
All-Star Baseball 2004,PS2,2003,Sports,0.21,0.16,0.0,0.05,0.42
Big Strike Bowling,PS,2003,Sports,0.23,0.16,0.0,0.03,0.42
ESPN NHL 2K5,XB,2004,Sports,0.32,0.09,0.0,0.02,0.42
Superman: Shadow of Apokolips,PS2,2002,Action,0.21,0.16,0.0,0.05,0.42
Star Wars Trilogy: Apprentice of the Force,GBA,2004,Action,0.3,0.11,0.0,0.01,0.42
Lemony Snicket's A Series of Unfortunate Events,GBA,2004,Platform,0.3,0.11,0.0,0.01,0.42
NBA Live 06,PSP,2005,Sports,0.39,0.0,0.0,0.03,0.42
Jikkyou Powerful Pro Yakyuu 11,PS2,2004,Sports,0.0,0.0,0.42,0.0,0.42
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,2003,Action,0.21,0.16,0.0,0.05,0.42
Mega Man Anniversary Collection,GC,2004,Platform,0.32,0.08,0.0,0.01,0.42
Harry Potter and the Goblet of Fire,GC,2005,Action,0.32,0.08,0.0,0.01,0.42
Condemned: Criminal Origins,X360,2005,Action,0.36,0.03,0.0,0.03,0.42
Mega Man X6,PS,2001,Action,0.14,0.1,0.16,0.03,0.42
Castlevania: Curse of Darkness,PS2,2005,Action,0.18,0.14,0.05,0.05,0.42
Jimmy Neutron: Boy Genius,GBA,2001,Platform,0.3,0.11,0.0,0.01,0.42
The Suffering,PS2,2004,Action,0.2,0.16,0.0,0.05,0.42
NBA Jam,PS2,2003,Sports,0.2,0.16,0.0,0.05,0.41
NFL GameDay 2004,PS2,2003,Sports,0.2,0.16,0.0,0.05,0.41
Jimmy Neutron: Boy Genius,PS2,2002,Platform,0.2,0.16,0.0,0.05,0.41
The Terminator: Dawn of Fate,PS2,2002,Action,0.2,0.16,0.0,0.05,0.41
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,0.34,0.01,0.0,0.06,0.41
Disney's Tarzan Untamed,PS2,2001,Platform,0.2,0.16,0.0,0.05,0.41
From Russia With Love,PS2,2005,Action,0.34,0.01,0.0,0.06,0.41
Minority Report: Everybody Runs,PS2,2002,Action,0.2,0.15,0.0,0.05,0.41
NFL GameDay 2002,PS,2001,Sports,0.23,0.15,0.0,0.03,0.4
Tak and the Power of Juju,GC,2003,Platform,0.31,0.08,0.0,0.01,0.4
Harry Potter: Quidditch World Cup,GC,2003,Sports,0.31,0.08,0.0,0.01,0.4
The Incredibles: Rise of the Underminer,GBA,2005,Action,0.29,0.11,0.0,0.01,0.4
Power Rangers: Dino Thunder,GC,2004,Action,0.31,0.08,0.0,0.01,0.4
MLB 2006,PS2,2005,Sports,0.33,0.01,0.0,0.05,0.4
Rocket Power: Dream Scheme,GBA,2001,Action,0.29,0.11,0.0,0.01,0.4
Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,0.29,0.11,0.0,0.01,0.4
NBA Live 2002,XB,2001,Sports,0.35,0.03,0.0,0.02,0.4
I-Ninja,PS2,2003,Platform,0.19,0.15,0.0,0.05,0.4
Ultimate Spider-Man,XB,2005,Action,0.26,0.11,0.0,0.02,0.39
Disney's Brother Bear,GBA,2003,Action,0.28,0.1,0.0,0.01,0.39
Yoshi Touch & Go,DS,2005,Platform,0.34,0.02,0.0,0.03,0.39
SSX 3,XB,2003,Sports,0.29,0.08,0.0,0.01,0.39
Madden NFL 2005,GBA,2004,Sports,0.28,0.1,0.0,0.01,0.39
Blood Omen 2,PS2,2002,Action,0.19,0.15,0.0,0.05,0.39
Cabela's Dangerous Hunts 2,PS2,2005,Sports,0.19,0.15,0.0,0.05,0.39
Harry Potter: Quidditch World Cup,GBA,2003,Sports,0.28,0.1,0.0,0.01,0.39
Evil Dead: Fistfull of Boomstick,PS2,2003,Action,0.19,0.15,0.0,0.05,0.38
ESPN College Hoops 2K5,XB,2004,Sports,0.29,0.08,0.0,0.01,0.38
The Cat in the Hat,GBA,2005,Platform,0.27,0.1,0.0,0.01,0.38
NFL GameDay 2002,PS2,2001,Sports,0.19,0.15,0.0,0.05,0.38
Ice Age,GBA,2002,Action,0.27,0.1,0.0,0.01,0.38
Headhunter,PS2,2002,Action,0.19,0.15,0.0,0.05,0.38
SSX 3,GC,2003,Sports,0.29,0.08,0.0,0.01,0.38
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,Action,0.27,0.1,0.0,0.01,0.38
Hunter: The Reckoning,XB,2002,Action,0.28,0.08,0.0,0.01,0.38
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,0.29,0.08,0.0,0.01,0.38
Ultimate Spider-Man,GC,2005,Action,0.29,0.07,0.0,0.01,0.37
NBA Inside Drive 2002,XB,2002,Sports,0.28,0.08,0.0,0.01,0.37
"Monsters, Inc. Scream Arena",GC,2002,Platform,0.29,0.07,0.0,0.01,0.37
Reel Fishing III,PS2,2003,Sports,0.18,0.14,0.0,0.05,0.37
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,0.18,0.14,0.0,0.05,0.37
High Heat Major League Baseball 2003,PS2,2002,Sports,0.18,0.14,0.0,0.05,0.37
Pac-Man World 2,GC,2002,Action,0.28,0.07,0.0,0.01,0.37
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,0.26,0.1,0.0,0.01,0.37
NFL Street 2 Unleashed,PSP,2005,Sports,0.34,0.0,0.0,0.03,0.37
ESPN X Games Skateboarding,PS2,2001,Sports,0.18,0.14,0.0,0.05,0.36
High Heat Major League Baseball 2004,PS2,2003,Sports,0.18,0.14,0.0,0.05,0.36
Robots,PS2,2005,Action,0.18,0.14,0.0,0.05,0.36
The Incredibles: Rise of the Underminer,PS2,2005,Action,0.18,0.14,0.0,0.05,0.36
Hamtaro: Ham-Ham Heartbreak,GBA,2002,Action,0.26,0.1,0.0,0.01,0.36
NBA 2K6,XB,2005,Action,0.27,0.08,0.0,0.01,0.36
Shaun Palmer's Pro Snowboarder,GBA,2001,Sports,0.26,0.1,0.0,0.01,0.36
ESPN NFL Football,XB,2003,Sports,0.27,0.08,0.0,0.01,0.36
Rapala Pro Fishing,PS2,2004,Sports,0.18,0.14,0.0,0.05,0.36
J-League Pro Soccer Club o Tsukurou '04,PS2,2004,Sports,0.0,0.0,0.36,0.0,0.36
Disney's The Haunted Mansion,PS2,2003,Platform,0.18,0.14,0.0,0.05,0.36
Harry Potter and the Chamber of Secrets,XB,2002,Action,0.27,0.08,0.0,0.01,0.36
Shrek,XB,2001,Platform,0.25,0.1,0.0,0.01,0.36
Backyard Baseball 2006,GBA,2005,Sports,0.25,0.09,0.0,0.01,0.35
Cabela's Outdoor Adventures (2006),PS2,2005,Sports,0.17,0.14,0.0,0.05,0.35
Outlaw Golf 2,PS2,2004,Sports,0.17,0.14,0.0,0.05,0.35
Batman: Rise of Sin Tzu,PS2,2003,Action,0.17,0.13,0.0,0.05,0.35
Disney's Tarzan: Return to the Jungle,GBA,2002,Action,0.25,0.09,0.0,0.01,0.35
Cabela's Dangerous Hunts,XB,2003,Sports,0.26,0.08,0.0,0.01,0.35
Star Wars: Flight of the Falcon,GBA,2003,Action,0.25,0.09,0.0,0.01,0.35
Resident Evil: Dead Aim,PS2,2003,Action,0.17,0.13,0.0,0.04,0.35
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,2003,Action,0.25,0.09,0.0,0.01,0.35
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,0.32,0.0,0.0,0.02,0.35
The Fairly Odd Parents: Shadow Showdown,PS2,2004,Platform,0.17,0.13,0.0,0.04,0.35
Aggressive Inline,PS2,2002,Sports,0.17,0.13,0.0,0.04,0.35
NFL Street,GC,2004,Sports,0.27,0.07,0.0,0.01,0.35
Rugrats: Royal Ransom,PS2,2002,Platform,0.17,0.13,0.0,0.04,0.35
The Wild Thornberrys Movie,GBA,2002,Platform,0.25,0.09,0.0,0.01,0.34
Classic NES Series: Ice Climber,GBA,2004,Platform,0.1,0.04,0.2,0.01,0.34
Driver 2 Advance,GBA,2002,Action,0.25,0.09,0.0,0.01,0.34
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,0.25,0.09,0.0,0.01,0.34
Kameo: Elements of Power,X360,2005,Action,0.28,0.03,0.0,0.03,0.34
Teenage Mutant Ninja Turtles,GC,2003,Action,0.26,0.07,0.0,0.01,0.34
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,0.24,0.09,0.0,0.01,0.33
Hulk,XB,2003,Action,0.25,0.07,0.0,0.01,0.33
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,0.12,0.1,0.08,0.03,0.33
Disney's Treasure Planet,PS2,2002,Action,0.16,0.13,0.0,0.04,0.33
Tak 2: The Staff of Dreams,GC,2004,Platform,0.26,0.07,0.0,0.01,0.33
Kelly Slater's Pro Surfer,PS2,2002,Sports,0.16,0.13,0.0,0.04,0.33
Shrek SuperSlam,GBA,2005,Action,0.24,0.09,0.0,0.01,0.33
Cool Boarders 2001,PS2,2001,Sports,0.16,0.13,0.0,0.04,0.33
Classic NES Series: Castlevania,GBA,2004,Platform,0.17,0.06,0.09,0.01,0.33
Way of the Samurai 2,PS2,2003,Action,0.05,0.04,0.23,0.01,0.33
Spy Kids 3-D: Game Over,GBA,2003,Platform,0.24,0.09,0.0,0.01,0.33
MVP Baseball 2005,GC,2005,Sports,0.25,0.07,0.0,0.01,0.33
NBA Live 06,GC,2005,Sports,0.25,0.07,0.0,0.01,0.33
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004,Action,0.23,0.09,0.0,0.01,0.32
Nicktoons: Movin',PS2,2004,Action,0.16,0.12,0.0,0.04,0.32
NBA Street V3,XB,2005,Sports,0.28,0.03,0.0,0.01,0.32
Tony Hawk's American Wasteland,X360,2005,Sports,0.28,0.02,0.0,0.03,0.32
Prince of Persia: The Sands of Time,GC,2003,Action,0.25,0.06,0.0,0.01,0.32
Fortress,GBA,2001,Action,0.23,0.08,0.0,0.01,0.32
Frogger's Adventures: The Rescue,PS2,2003,Platform,0.16,0.12,0.0,0.04,0.32
SpongeBob SquarePants: Double Pack,GBA,2005,Platform,0.23,0.08,0.0,0.01,0.32
Disney's Extreme Skate Adventure,PS2,2003,Sports,0.16,0.12,0.0,0.04,0.32
NBA 2K3,XB,2002,Sports,0.24,0.07,0.0,0.01,0.32
NFL Fever 2004,XB,2003,Sports,0.24,0.07,0.0,0.01,0.32
Madden NFL 2002,GBA,2001,Sports,0.23,0.08,0.0,0.01,0.32
Power Rangers: Time Force,PS,2001,Action,0.18,0.12,0.0,0.02,0.32
Dynasty Warriors 4 Empires,PS2,2004,Action,0.0,0.0,0.32,0.0,0.32
Madden NFL 2004,GBA,2003,Sports,0.22,0.08,0.0,0.01,0.31
NBA Inside Drive 2003,XB,2002,Sports,0.23,0.07,0.0,0.01,0.31
